Name,Race,MMR,Games
YoyO,ZERG,4888,43
Bojinkins,,,0
Galeforce,PROTOSS,4496,60
TEarDroP,TERRAN,4816,1
Dyncommon,ZERG,4635,21
Kirt,PROTOSS,4443,7
TheKazootie,,,0
Quaven,PROTOSS,4338,1
Derp,ZERG,4113,3
Vedeynevin,ZERG,4061,1
NoamPomsky,ZERG,3899,2
Duttles,ZERG,3707,6
LeWaffles,PROTOSS,3515,8
Tixt,ZERG,3373,33
Rocky,PROTOSS,3463,1
MrHyde,PROTOSS,3167,1
sherpard,PROTOSS,3121,11
Oghma,ZERG,2892,9
Coast,ZERG,2955,2
floski,TERRAN,3347,1
UnKleToBy,PROTOSS,4941,21
JonBom,PROTOSS,5124,2
Sawblade,TERRAN,3723,33
Awful,TERRAN,4759,2
Unknown,TERRAN,4494,35
GeminiDTX,PROTOSS,2949,21
DJCylon,ZERG,3595,1
Magyner,ZERG,3879,7
whoneth,PROTOSS,4485,1
Dyncommon,PROTOSS,3747,21
Dyncommon,TERRAN,4051,21
Dyncommon,RANDOM,3928,21
JonBom,TERRAN,4365,37
Galeforce,ZERG,4214,60
