#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","MMR","Games"
"YoyO","5036","16"
"Bojinkins","","0"
"Galeforce","4541","4"
"TEarDroP","4816","1"
"Dyncommon","4635","4"
"Kirt","4453","3"
"TheKazootie","","0"
"Quaven","4338","1"
"Derp","4092","7"
"Vedeynevin","4061","1"
"NoamPomsky","3921","1"
"Duttles","3797","3"
"LeWaffles","3580","4"
"Tixt","3331","1"
"Rocky","3463","1"
"MrHyde","3167","1"
"sherpard","3260","5"
"Oghma","2847","2"
"Coast","2955","2"
"floski","3315","1"
"UnKleToBy","4932","3"
"JonBom","5124","2"
"Sawblade","3769","3"
"Awful","4759","1"
"Unknown","4479","11"
"GeminiDTX","3036","3"
"DJCylon","3595","1"
"Magyner","3879","1"
"whoneth","4485","1"
