#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","Race","MMR","Games"
"YoyO","ZERG","5025","25"
"Bojinkins","TERRAN","","0"
"Galeforce","PROTOSS","4484","55"
"TEarDroP","TERRAN","4592","79"
"Dyncommon","ZERG","4635","50"
"Kirt","PROTOSS","4453","3"
"TheKazootie","TERRAN","4450","1"
"Quaven","PROTOSS","4335","6"
"Derp","ZERG","4038","7"
"Vedeynevin","ZERG","4061","1"
"NoamPomsky","ZERG","3921","18"
"Duttles","ZERG","3797","1"
"LeWaffles","PROTOSS","3599","17"
"Tixt","ZERG","3331","1"
"Rocky","PROTOSS","3463","1"
"MrHyde","PROTOSS","3167","1"
"sherpard","PROTOSS","3289","5"
"Oghma","ZERG","2844","5"
"Coast","ZERG","2955","2"
"floski","TERRAN","3315","1"
"UnKleToBy","PROTOSS","5068","51"
"JonBom","PROTOSS","5124","2"
"Sawblade","TERRAN","3959","38"
"Awful","TERRAN","4759","1"
"Unknown","TERRAN","4504","43"
"GeminiDTX","PROTOSS","3030","26"
"DJCylon","ZERG","3595","3"
"Magyner","ZERG","3879","1"
"whoneth","PROTOSS","4485","1"
