"Player","Race","CurrentMMR","PreviousMMR","Change","GamesPlayed"
"Galeforce","PROTOSS","4530","4496","34","1"
"NoamPomsky","ZERG","3921","3899","22","7"
"Sawblade","TERRAN","3743","3723","20","0"
"Duttles","ZERG","3726","3707","19","3"
"GeminiDTX","PROTOSS","2968","2949","19","3"
"Kirt","PROTOSS","4450","4443","7","6"
"sherpard","PROTOSS","3126","3121","5","4"
"JonBom","PROTOSS","5124","5124","0","35"
"Awful","TERRAN","4759","4759","0","0"
"Unknown","TERRAN","4494","4494","0","0"
"DJCylon","ZERG","3595","3595","0","0"
"Magyner","ZERG","3879","3879","0","0"
"whoneth","PROTOSS","4485","4485","0","0"
"Dyncommon","PROTOSS","3747","3747","0","0"
"Dyncommon","TERRAN","4051","4051","0","0"
"Dyncommon","RANDOM","3928","3928","0","0"
"UnKleToBy","PROTOSS","4941","4941","0","0"
"floski","TERRAN","3347","3347","0","0"
"YoyO","ZERG","4888","4888","0","0"
"JonBom","TERRAN","4365","4365","0","0"
"MrHyde","PROTOSS","3167","3167","0","0"
"Rocky","PROTOSS","3463","3463","0","0"
"Vedeynevin","ZERG","4061","4061","0","0"
"Derp","ZERG","4113","4113","0","0"
"Quaven","PROTOSS","4338","4338","0","0"
"TheKazootie","TERRAN","0","0","0","0"
"Dyncommon","ZERG","4635","4635","0","0"
"TEarDroP","TERRAN","4816","4816","0","0"
"Bojinkins","TERRAN","0","0","0","0"
"Coast","ZERG","2955","2955","0","0"
"Galeforce","ZERG","4214","4214","0","1"
"Oghma","ZERG","2867","2892","-25","5"
"LeWaffles","PROTOSS","3490","3515","-25","14"
"Tixt","ZERG","3331","3373","-42","0"
