#TYPE Selected.System.Management.Automation.PSCustomObject
"Player","CurrentMMR","PreviousMMR","Change","GamesPlayed"
"GeminiDTX","3080","3020","60","7"
"Galeforce","4646","4587","59","19"
"sherpard","3147","3126","21","4"
"YoyO","4895","4888","7","13"
"LeWaffles","3493","3490","3","9"
"UnKleToBy","4941","4941","0","3"
"floski","3347","3347","0","1"
"Awful","4759","4759","0","1"
"Oghma","2847","2847","0","2"
"Coast","2955","2955","0","2"
"Unknown","4494","4494","0","3"
"Magyner","3879","3879","0","1"
"DJCylon","3595","3595","0","1"
"JonBom","5124","5124","0","21"
"Sawblade","3743","3743","0","3"
"whoneth","4485","4485","0","1"
"Quaven","4338","4338","0","1"
"Derp","4113","4113","0","3"
"TEarDroP","4816","4816","0","1"
"Dyncommon","4635","4635","0","4"
"MrHyde","3167","3167","0","1"
"Tixt","3331","3331","0","1"
"Rocky","3463","3463","0","1"
"Vedeynevin","4061","4061","0","1"
"NoamPomsky","3921","3921","0","1"
"Duttles","3723","3726","-3","2"
"Kirt","4434","4470","-36","13"
