Name,NephestID,Race,LLID
Yoyo,12279,ZERG,1
Bojinkins,2857273,TERRAN,2
Galeforce,18288,PROTOSS,3
TearDrop,83104,TERRAN,4
Dyncommon,7368598,ZERG,5
Trumpet,6590294,PROTOSS,6
TheKazootie,0000000,TERRAN,7
Quaven,0,PROTOSS,8
Derp,8595472,ZERG,9
Vedeynevin,41693,ZERG,10
NoamPomsky,340837565,ZERG,11
Duttles,947620,ZERG,12
LeWaffles,5605825,PROTOSS,13
Tixt,3401392,ZERG,14
Rocky,0,PROTOSS,15
MrHyde,48176,PROTOSS,16
sherpard,345971,PROTOSS,17
Oghma,2669504,ZERG,18
Coast,47970,ZERG,19
Floski,65428,TERRAN,20
UnKleToBy,8465971,PROTOSS,21
JonBom,175843847,PROTOSS,22
Sawblade,3432250,TERRAN,23
Awful,340892083,TERRAN,24
Unknown,0,TERRAN,25
GeminiDTX,0,PROTOSS,26
DJCylon,3563157,ZERG,27
Magyner,0,ZERG,28
Whoneth,0,PROTOSS,29
UnKleToBy,8465971,TERRAN,30
Killjoy,0,ZERG,31
PostBoy,0,TERRAN,32
Silent,0,ZERG,33
NoamPomsky,340837565,TERRAN,34
Dyncommon,7368598,TERRAN,35
Dyncommon,7368598,PROTOSS,36
Dyncommon,7368598,RANDOM,37
Oghma,2669504,TERRAN,38
CareAgain,84920,ZERG,39
Sax,000000,TERRAN,40
TearDrop,83104,PROTOSS,41
rei,82124,PROTOSS,42
Jonbom,231889566,PROTOSS,43
Nopret,217442,PROTOSS,44
Nopret,1577166,PROTOSS,45
Galeforce,18288,ZERG,46
Galeforce,18288,TERRAN,47
Sawblade,3432250,ZERG,48
Applejuice,0,RANDOM,49
Applejuice,0,PROTOSS,50
Applejuice,0,ZERG,51
Applejuice,0,TERRAN,52
Sawblade,3432250,PROTOSS,53
Sawblade,3432250,ZERG,54
Sawblade,3432250,RANDOM,55
Cal,341096540,ZERG,56
TheG,3516,TERRAN,57
